secs,nanos,val 
1455058756,999236471,23.8125
1455058997,36091621,23.75
1455059007,35625036,23.8125
1455059127,4077111,23.75
1455059147,3005912,23.8125
1455059187,25826533,23.75
1455059197,175245,23.8125
1455059287,36189945,23.75
1455059297,44778803,23.8125
1455059317,18903900,23.75
1455059367,16396677,23.8125
1455059376,990802083,23.75
1455059397,26697610,23.8125
1455059407,89060413,23.75
1455059417,38082408,23.8125
1455059427,13461544,23.75
1455059496,985219052,23.8125
1455059507,33311546,23.75
1455059527,57355131,23.8125
1455059537,6691854,23.75
1455059567,29951025,23.8125
1455059577,40982746,23.75
1455059627,26880198,23.8125
1455059637,52455252,23.75
1455059677,74111503,23.8125
1455059687,40451215,23.75
1455059697,73349921,23.8125
1455059707,97521423,23.75
1455059897,87278738,23.8125
1455059907,137050538,23.75
1455059937,85136133,23.8125
1455059947,134946594,23.75
1455059967,151174508,23.8125
1455059977,119038863,23.75
1455060097,112874071,23.8125
1455060117,75390642,23.75
1455060317,142201361,23.8125
1455060327,65627872,23.75
1455060957,129825455,23.6875
1455060967,129010172,23.75
1455060977,103527576,23.6875
1455062087,66347813,23.625
1455062097,67474346,23.6875
1455062337,54928924,23.625
1455062347,40848933,23.6875
1455062527,6544372,23.625
1455062537,44129977,23.6875
1455063367,25648663,23.625
1455063377,25664467,23.6875
1455063457,46144969,23.625
1455063467,8281796,23.6875
1455063507,43523907,23.625
1455063547,41431648,23.6875
1455063567,39896521,23.625
1455063577,39443598,23.6875
1455063587,39767410,23.625
1455063597,39245585,23.6875
1455063607,88422084,23.625
1455063617,38902293,23.6875
1455063637,37675139,23.625
1455063647,38922312,23.6875
1455063677,35973627,23.625
1455063687,55061171,23.6875
1455063707,57768569,23.625
1455063717,33509540,23.6875
1455063837,52477570,23.625
1455063867,45429728,23.6875
1455063887,51593748,23.625
1455063897,68515748,23.6875
1455063907,126755937,23.625
1455063917,67255097,23.6875
1455063947,70990308,23.625
1455063957,40963250,23.6875
1455063997,38521509,23.625
1455064007,75096908,23.6875
1455064037,42896698,23.625
1455064047,72923570,23.6875
1455064067,40012250,23.625
1455064077,71137408,23.6875
1455064107,56841162,23.625
1455064117,62349170,23.6875
1455064167,34643779,23.625
1455064177,58989200,23.6875
1455064197,59735812,23.625
1455064207,31502530,23.6875
1455064217,57898906,23.625
1455064247,57530238,23.6875
1455064257,73752169,23.625
1455064297,34446866,23.6875
1455064357,75820146,23.625
1455064397,66267555,23.6875
1455064407,66780059,23.625
1455064427,73273384,23.6875
1455064447,38456258,23.625
1455064477,87027962,23.6875
1455064487,42738151,23.625
1455064527,67168947,23.6875
1455064557,57178484,23.625
1455064567,64686490,23.6875
1455064597,62098693,23.625
1455064607,63991161,23.6875
1455064617,54734393,23.625
1455064677,51130551,23.6875
1455064697,50132079,23.625
1455064707,56783204,23.6875
1455064717,57032153,23.625
1455064807,119419777,23.6875
1455064827,76794271,23.625
1455064847,59584201,23.6875
1455064877,65313489,23.625
1455064987,60126360,23.6875
1455064997,58938652,23.625
1455065127,59420963,23.6875
1455065137,75985775,23.625
1455065467,57831074,23.6875
1455065477,57350090,23.625
1455070827,165463579,23.5625
1455070837,139598102,23.625
1455071057,178763591,23.5625
1455071067,177606551,23.625
1455074317,129970849,23.5625
1455074327,148759431,23.625
1455074487,139919071,23.5625
1455074497,114455628,23.625
1455074537,118742670,23.5625
1455074547,136668777,23.625
1455074587,134676895,23.5625
1455074597,134073601,23.625
1455074607,133607615,23.5625
1455074617,114342277,23.625
1455074647,131306337,23.5625
1455074657,137187029,23.625
1455074777,124337412,23.5625
1455074797,104955711,23.625
1455074827,133585958,23.5625
1455074847,127500151,23.625
1455074857,119731940,23.5625
1455074947,121889246,23.625
1455074957,126706841,23.5625
1455074977,121130237,23.625
1455074987,112833138,23.5625
1455074997,124185316,23.625
1455075017,111053072,23.5625
1455075037,110695197,23.625
1455075047,118078215,23.5625
1455075077,145606367,23.625
1455075097,139727775,23.5625
1455075107,131791366,23.625
1455075117,139358663,23.5625
1455075127,129826295,23.625
1455075147,141828879,23.5625
1455075187,139763102,23.625
1455075207,135027599,23.5625
1455075227,112784678,23.625
1455075237,133400424,23.5625
1455075277,122759954,23.625
1455075287,146565757,23.5625
1455075297,107840702,23.625
1455075327,143832815,23.5625
1455075367,126412410,23.625
1455075387,128420174,23.5625
1455075437,121265368,23.625
1455075447,121041951,23.5625
1455075457,124151834,23.625
1455075487,145754278,23.5625
1455075497,147717002,23.625
1455075507,121396996,23.5625
1455075577,142324939,23.625
1455075607,164818496,23.5625
1455075617,139847539,23.625
1455075637,138843341,23.5625
1455075667,134466279,23.625
1455075677,136543361,23.5625
1455075737,133244915,23.625
1455075747,132954428,23.5625
1455075817,126637948,23.625
1455075827,117024658,23.5625
1455075877,148537912,23.625
1455075887,147920110,23.5625
1455076017,131670716,23.625
1455076027,142298321,23.5625
1455076137,136273887,23.625
1455076147,135822244,23.5625
1455076167,134747830,23.625
1455076177,109198180,23.5625
1455076287,152964338,23.625
1455076297,127542343,23.5625
1455077047,162324390,23.625
1455077057,161638915,23.5625
1455078807,303268397,23.5
1455078817,278136571,23.5625
1455078927,321657522,23.5
1455078937,246341034,23.5625
1455078957,270602890,23.5
1455078977,293947627,23.5625
1455078987,318400861,23.5
1455078997,293610720,23.5625
1455079007,260456311,23.5
1455079017,267168980,23.5625
1455079027,278403080,23.5
1455079037,315587152,23.5625
1455079057,290207205,23.5
1455079077,263826722,23.5625
1455079087,250792244,23.5
1455079117,261581848,23.5625
1455079137,235755089,23.5
1455079177,283454014,23.5625
1455079207,237416161,23.5
1455079217,306236378,23.5625
1455079237,280328325,23.5
1455079247,249999882,23.5625
1455079297,276825143,23.5
1455079317,251241027,23.5625
1455079337,299290687,23.5
1455079357,298266819,23.5625
1455079387,244545089,23.5
1455079427,245371282,23.5625
1455079437,293954365,23.5
1455079447,240200682,23.5625
1455079477,292896018,23.5
1455079497,216379744,23.5625
1455079507,274446561,23.5
1455079527,290038159,23.5625
1455079537,289395011,23.5
1455079557,213168737,23.5625
1455079577,288051184,23.5
1455079617,259594193,23.5625
1455079627,281632067,23.5
1455079647,284123446,23.5625
1455079657,257334180,23.5
1455079707,280601661,23.5625
1455079717,279300045,23.5
1455079787,250333767,23.5625
1455079797,221053323,23.5
1455080037,262151623,23.5625
1455080047,232298534,23.5
1455080067,285288972,23.5625
1455080087,239693641,23.5
1455080097,205720458,23.5625
1455080107,239057026,23.5
1455080187,253647369,23.5625
1455080197,202789794,23.5
1455080237,225632752,23.5625
1455080247,250232713,23.5
1455080267,249458154,23.5625
1455080277,223902923,23.5
1455080297,222455762,23.5625
1455080307,247856137,23.5
1455080437,172552630,23.5625
1455080447,239919830,23.5
1455080487,262628860,23.5625
1455080497,211784877,23.5
1455082787,164408845,23.4375
1455082797,189057427,23.5
1455084127,188743826,23.4375
1455084137,194486721,23.5
1455084147,193848670,23.4375
1455084157,173652183,23.5
1455084477,201701491,23.4375
1455084487,200950283,23.5
1455084497,194082535,23.4375
1455084507,179778054,23.5
1455084537,191131604,23.4375
1455084547,198325009,23.5
1455084577,196594299,23.4375
1455084587,200296415,23.5
1455084607,199208028,23.4375
1455084617,211745719,23.5
1455084677,183415209,23.4375
1455084687,215658276,23.5
1455084697,215192176,23.4375
1455084717,206463231,23.5
1455084727,213928105,23.4375
1455084737,205800266,23.5
1455084747,192101613,23.4375
1455084757,215779212,23.5
1455084767,215347050,23.4375
1455084777,214596780,23.5
1455084817,212879599,23.4375
1455084827,212479057,23.5
1455084837,211073984,23.4375
1455084847,211023304,23.5
1455084857,198997554,23.4375
1455084867,209678585,23.5
1455084877,208925058,23.4375
1455084917,206862023,23.5
1455084927,206483644,23.4375
1455085077,220673217,23.5
1455085097,210457722,23.4375
1455085207,204396976,23.5
1455085217,215685127,23.4375
1455085227,215741226,23.5
1455085247,214382421,23.4375
1455085327,198072161,23.5
1455085337,184549131,23.4375
1455085417,230318173,23.5
1455085427,229577435,23.4375
1455087097,251045489,23.5
1455087107,250656681,23.4375
1455089887,299506085,23.375
1455089897,324205751,23.4375
1455089937,320985643,23.375
1455089947,296085579,23.4375
1455089987,305444689,23.375
1455089997,317761758,23.4375
