secs,nanos,val 
1455058937,975733969,24.8125
1455058957,975129656,24.75
1455058967,949651048,24.8125
1455058997,961411719,24.75
1455059017,959949707,24.8125
1455059047,933276913,24.75
1455059057,969732504,24.8125
1455059067,957297214,24.75
1455059077,959247662,24.8125
1455059107,980253881,24.75
1455059117,966349865,24.8125
1455059147,939733293,24.75
1455059157,952563448,24.8125
1455059207,961473821,24.75
1455059217,961017715,24.8125
1455059257,949397405,24.75
1455059277,957564624,24.8125
1455059347,953812607,24.75
1455059357,978585658,24.8125
1455059427,962871776,24.75
1455059437,937441219,24.8125
1455059487,971062084,24.75
1455059507,970108495,24.8125
1455059517,932829551,24.75
1455059527,968856280,24.8125
1455059597,940269001,24.75
1455059607,965148690,24.8125
1455059667,986293469,24.75
1455059677,927489922,24.8125
1455059707,959055501,24.75
1455059717,958869383,24.8125
1455059737,924562073,24.75
1455059747,945389716,24.8125
1455059797,922371761,24.75
1455059807,953869586,24.8125
1455059937,971395217,24.75
1455059947,962156392,24.8125
1455059987,943895383,24.75
1455059997,968414819,24.8125
1455060027,966855554,24.75
1455060037,965976621,24.8125
1455060057,989700886,24.75
1455060067,956354100,24.8125
1455060367,961142190,24.75
1455060377,947314162,24.8125
1455060437,957951422,24.75
1455060447,957455070,24.8125
1455060737,942467600,24.75
1455060747,978071168,24.8125
1455061647,978446380,24.75
1455061657,990789492,24.8125
1455062417,986647645,24.75
1455062428,11060140,24.8125
1455062917,984561209,24.75
1455062927,975879015,24.8125
1455064328,19524925,24.75
1455064337,995991231,24.8125
1455064568,32494138,24.75
1455064578,31499024,24.8125
1455070168,25853551,24.875
1455070178,29766024,24.8125
1455070288,31215327,24.875
1455070298,30460027,24.8125
1455070358,52431662,24.875
1455070368,51562700,24.8125
1455074588,96338508,24.875
1455074598,59956576,24.8125
1455074688,108313352,24.875
1455074698,115189228,24.8125
1455074988,87591971,24.875
1455074998,86826341,24.8125
1455075238,123752108,24.875
1455075248,101466407,24.8125
1455075268,110689771,24.875
1455075278,58418196,24.8125
1455075508,84466116,24.875
1455075518,79440032,24.8125
1455076248,47369275,24.875
1455076258,104728721,24.8125
1455076278,53627847,24.875
1455076288,102591732,24.8125
1455076338,100533516,24.875
1455076348,99431762,24.8125
1455076448,94494948,24.875
1455076468,93089600,24.8125
1455076688,105890608,24.875
1455076698,105479142,24.8125
1455077108,71895869,24.875
1455077118,107911826,24.8125
1455077138,81609016,24.875
1455077148,98728533,24.8125
1455077298,122413234,24.875
1455077308,121801910,24.8125
1455077318,96276961,24.875
1455077328,88101693,24.8125
1455077348,119529331,24.875
1455077358,119188019,24.8125
1455077378,118014186,24.875
1455077388,86417292,24.8125
1455077398,92085300,24.875
1455077408,206976857,24.8125
1455077438,114797066,24.875
1455077458,138647014,24.8125
1455077478,137535256,24.875
1455077488,137041838,24.8125
1455077528,110079033,24.875
1455077538,134206462,24.8125
1455077558,132759611,24.875
1455077568,107685062,24.8125
1455077598,131255227,24.875
1455077608,130551047,24.8125
1455077628,104552279,24.875
1455077638,128684794,24.8125
1455077688,126157483,24.875
1455077708,150179841,24.8125
1455077728,124524381,24.875
1455077738,99216407,24.8125
1455077758,122611727,24.875
1455077768,85374051,24.8125
1455077798,96011830,24.875
1455077808,119300394,24.8125
1455077948,87973780,24.875
1455077958,112305641,24.8125
1455077968,136343191,24.875
