secs,nanos,val 
1455059066,993994794,22.9375
1455059566,991847549,22.875
1455059576,979731699,22.9375
1455059847,2010832,22.875
1455059856,964408491,22.9375
1455060066,989771465,22.875
1455060076,988964044,22.9375
1455060386,997245523,22.875
1455060396,996490770,22.9375
1455060466,987334382,22.875
1455060477,30048044,22.9375
1455060526,982176776,22.875
1455060537,14569442,22.9375
1455060547,13591425,22.875
1455060557,13379408,22.9375
1455060607,23881272,22.875
1455060616,984932983,22.9375
1455060666,957495653,22.875
1455060687,6790148,22.9375
1455060706,971900898,22.875
1455060716,992586867,22.9375
1455060747,3386674,22.875
1455060766,968874207,22.9375
1455060816,987527570,22.875
1455060827,23575827,22.9375
1455060887,19836961,22.875
1455060897,19378195,22.9375
1455060927,17411412,22.875
1455060937,5280078,22.9375
1455060947,16796516,22.875
1455060957,16247227,22.9375
1455060977,2965325,22.875
1455060987,2576675,22.9375
1455061037,48907,22.875
1455061047,11966315,22.9375
1455061077,10464615,22.875
1455061086,997446391,22.9375
1455061107,21075773,22.875
1455061127,20039318,22.9375
1455061227,14704992,22.875
1455061247,15215305,22.9375
1455061267,12329883,22.875
1455061277,36822939,22.9375
1455061287,36464800,22.875
1455061307,11840274,22.9375
1455061367,7521457,22.875
1455061377,3709453,22.9375
1455061396,990566390,22.875
1455061427,6775647,22.9375
1455061467,13351979,22.875
1455061487,3219157,22.9375
1455061517,11049131,22.875
1455061566,983409581,22.9375
1455061577,7515388,22.875
1455061646,992517260,22.9375
1455061666,995507301,22.875
1455061697,26438708,22.9375
1455061707,1187631,22.875
1455061726,991698287,22.9375
1455061757,23083352,22.875
1455061857,17639694,22.9375
1455061866,991550446,22.875
1455061947,12144382,22.9375
1455061957,11916182,22.875
1455063637,57543033,22.8125
1455063647,37545240,22.875
1455064357,29809307,22.8125
1455064367,37286259,22.875
1455064397,65990843,22.8125
1455064427,49240521,22.875
1455064547,43409614,22.8125
1455064557,57043828,22.875
1455064637,52885332,22.8125
1455064647,52388948,22.875
1455064667,37060949,22.8125
1455064677,50833580,22.875
1455064697,49767502,22.8125
1455064707,49031557,22.875
1455064717,48492882,22.8125
1455064727,9145778,22.875
1455064747,47842447,22.8125
1455064767,48180857,22.875
1455064777,58565902,22.8125
1455064787,54887960,22.875
1455064797,69365408,22.8125
1455064807,68657067,22.875
1455064887,64835263,22.8125
1455064907,43550338,22.875
1455064927,61998281,22.8125
1455064937,36832636,22.875
1455064957,60715181,22.8125
1455064967,20790295,22.875
1455064987,59171768,22.8125
1455064997,33303560,22.875
1455065017,57484865,22.8125
1455065027,15860636,22.875
1455065057,11977776,22.8125
1455065067,42698820,22.875
1455065077,54140300,22.8125
1455065087,36979457,22.875
1455065097,53044468,22.8125
1455065117,32518782,22.875
1455065147,35252921,22.8125
1455065157,49858551,22.875
1455065167,49757474,22.8125
1455065187,60334409,22.875
1455065217,46829759,22.8125
1455065267,50679020,22.875
1455065287,43217815,22.8125
1455065357,38869656,22.875
1455065377,62366011,22.8125
1455065417,47876989,22.875
1455065427,59945462,22.8125
1455065437,34458260,22.875
1455065447,35950528,22.8125
1455065457,58346624,22.875
1455065467,32363196,22.8125
1455065537,54543841,22.875
1455065557,41056922,22.8125
1455065817,51028229,22.875
1455065827,39278719,22.8125
1455065877,36526532,22.875
1455065887,34771732,22.8125
1455065917,57939815,22.875
1455065927,82319175,22.8125
1455066157,70148674,22.875
1455066167,50772257,22.8125
1455069147,81659745,22.75
1455069157,67596535,22.8125
1455069377,69295643,22.75
1455069387,69003371,22.8125
1455069487,38497681,22.75
1455069497,74206002,22.8125
1455069907,52098956,22.75
1455069917,52658989,22.8125
1455070067,76668685,22.75
1455070077,67590409,22.8125
1455070147,51924508,22.75
1455070157,76135224,22.8125
1455070327,53814257,22.75
1455070337,91178176,22.8125
1455070367,76446988,22.75
1455070387,75662195,22.8125
1455070437,72711443,22.75
1455070447,72422900,22.8125
1455070457,72339945,22.75
1455070467,96038748,22.8125
1455070507,69149201,22.75
1455070517,81659871,22.8125
1455070527,92916536,22.75
1455070537,55811729,22.8125
1455070607,76906089,22.75
1455070647,86263654,22.8125
1455070667,73682938,22.75
1455070687,59623644,22.8125
1455070707,83232349,22.75
1455070727,70573609,22.8125
1455070737,106659224,22.75
1455070757,105762321,22.8125
1455070767,105276228,22.75
1455070777,79411342,22.8125
1455070817,65496323,22.75
1455070877,99028222,22.8125
1455070887,98710997,22.75
1455070897,73000868,22.8125
1455070927,71555225,22.75
1455070947,83391582,22.8125
1455070967,82430438,22.75
1455070977,93465911,22.8125
1455070987,81479765,22.75
1455070997,55926018,22.8125
1455071007,91730269,22.75
1455071037,78802027,22.8125
1455071047,78180731,22.75
1455071057,64196505,22.8125
1455071067,64585939,22.75
1455071077,63063309,22.8125
1455071097,62177079,22.75
1455071117,73817769,22.8125
1455071127,110425901,22.75
1455071137,98310747,22.8125
1455071147,97320345,22.75
1455071187,95558578,22.8125
1455071197,94785499,22.75
1455071207,94315171,22.8125
1455071217,80688844,22.75
1455071227,80212067,22.8125
1455071257,103167731,22.75
1455071277,77144884,22.8125
1455071307,76433866,22.75
1455071347,74184361,22.8125
1455071357,61624051,22.75
1455071367,97246090,22.8125
1455071377,72317120,22.75
1455071397,83896116,22.8125
1455071407,158453779,22.75
1455071567,100531770,22.8125
1455071577,100637612,22.75
1455071587,73571871,22.8125
1455071597,98842750,22.75
1455071697,92816316,22.8125
1455071707,92316983,22.75
1455071727,90790519,22.8125
1455071737,68667142,22.75
1455071767,75872919,22.8125
1455071777,112958618,22.75
1455071817,86121557,22.8125
1455071827,72365902,22.75
1455071847,109328848,22.8125
1455071857,70611051,22.75
1455071897,94193124,22.8125
1455071907,92377812,22.75
1455072067,84365792,22.8125
1455072077,108870734,22.75
1455072097,82625792,22.8125
1455072107,94818878,22.75
1455072137,105135672,22.8125
1455072147,104786492,22.75
1455072287,72524886,22.8125
1455072297,96874346,22.75
1455072427,64515069,22.8125
1455072437,102279844,22.75
1455072647,77532311,22.8125
1455072657,102056380,22.75
1455072997,71841525,22.8125
1455073007,98662980,22.75
1455076807,213185746,22.6875
1455076817,136884961,22.75
1455076887,144662206,22.6875
1455076897,119724065,22.75
1455076917,131387392,22.6875
1455076927,130611952,22.75
1455077067,160364127,22.6875
1455077077,134411419,22.75
1455077117,132471066,22.6875
1455077127,156850725,22.75
1455077147,140073855,22.6875
1455077157,129940416,22.75
1455077767,114304049,22.6875
1455077777,146633249,22.75
1455077807,144573893,22.6875
1455077817,144302706,22.75
1455078007,197542567,22.6875
1455078017,158526661,22.75
1455078037,145800475,22.6875
1455078047,149419774,22.75
1455078087,154251554,22.6875
1455078097,154096323,22.75
1455078127,152406086,22.6875
1455078147,151762648,22.75
1455078177,149530321,22.6875
1455078187,149285315,22.75
1455078207,147987772,22.6875
1455078217,147545107,22.75
1455078227,164297372,22.6875
1455078237,159338267,22.75
