secs,nanos,val 
1455059187,961478444,23.0
1455059377,933837211,23.0625
1455059387,970210043,23.0
1455059597,947550815,23.0625
1455059607,946812131,23.0
1455059727,939999615,23.0625
1455059737,952411145,23.0
1455059897,947840016,23.0625
1455059907,971762306,23.0
1455059937,946196821,23.0625
1455059947,953940610,23.0
1455060027,965311624,23.0625
1455060037,936744578,23.0
1455060327,958589673,23.0625
1455060337,933539359,23.0
1455060727,977112168,23.0625
1455060737,950253126,23.0
1455060877,943803794,23.0625
1455060887,972718313,23.0
1455061027,962734931,23.0625
1455061037,961737841,23.0
1455068508,45975687,22.9375
1455068518,45343321,23.0
1455068598,66393595,22.9375
1455068608,41120628,23.0
1455068658,38142333,22.9375
1455068668,43239458,23.0
1455068898,30623491,22.9375
1455068908,55307540,23.0
1455068948,11084010,22.9375
1455068958,27311971,23.0
1455069008,45199529,22.9375
1455069018,24437655,23.0
1455069168,24460274,22.9375
1455069178,23905650,23.0
1455069188,23422922,22.9375
1455069198,39479603,23.0
1455069218,22361517,22.9375
1455069228,21558644,23.0
1455069288,34577453,22.9375
1455069298,34177823,23.0
1455069308,183242489,22.9375
1455069318,32612664,23.0
1455069338,27905342,22.9375
1455069348,14727924,23.0
1455069358,30851955,22.9375
1455069368,14219070,23.0
1455069378,29338784,22.9375
1455069398,12101508,23.0
1455069418,10929376,22.9375
1455069428,23412180,23.0
1455069438,26092287,22.9375
1455069448,9353366,23.0
1455069488,6941638,22.9375
1455069498,23157980,23.0
1455069508,22862769,22.9375
1455069518,31043327,23.0
1455069528,21837886,22.9375
1455069538,29709030,23.0
1455069588,27830436,22.9375
1455069598,26966889,23.0
1455069628,13360575,22.9375
1455069638,37637573,23.0
1455069648,39714538,22.9375
1455069708,36763907,23.0
1455069738,35128743,22.9375
1455069758,31220056,23.0
1455069768,17585855,22.9375
1455069778,32785013,23.0
1455069788,16717870,22.9375
1455069848,13543920,23.0
1455069898,26441647,22.9375
1455069938,33982810,23.0
1455069948,24053017,22.9375
1455069978,21918431,23.0
1455069988,31075819,22.9375
1455070028,28932429,23.0
1455070038,44083906,22.9375
1455070088,24124686,23.0
1455070098,40169313,22.9375
1455070148,20712083,23.0
1455070158,36979541,22.9375
1455070248,32249386,23.0
1455070258,32037633,22.9375
1455070338,37948073,23.0
1455070348,27266139,22.9375
1455070418,23465587,23.0
1455070428,47012439,22.9375
1455070638,36283601,23.0
1455070648,47683006,22.9375
1455072328,147903867,22.875
1455072338,83953201,22.9375
1455072408,143577444,22.875
1455072418,193698725,22.9375
1455072448,166639529,22.875
1455072458,116049624,22.9375
1455072478,190377699,22.875
1455072488,139276787,22.9375
1455072608,208611138,22.875
1455072618,232856626,22.9375
1455072638,182121648,22.875
1455072648,106230649,22.9375
1455072718,253101951,22.875
1455072728,146856549,22.9375
1455072768,136646354,22.875
1455072788,162049770,22.9375
1455072798,236520305,22.875
1455072808,273334175,22.9375
1455072828,183368386,22.875
1455072838,271659435,22.9375
1455072848,146204222,22.875
1455072858,282412721,22.9375
1455072878,244353253,22.875
1455072908,167625981,22.9375
1455072948,165591693,22.875
1455072968,151791693,22.9375
1455072988,289811443,22.875
1455072998,212814417,22.9375
1455073038,260704225,22.875
1455073058,209788140,22.9375
1455073068,209353286,22.875
1455073078,233816585,22.9375
1455073098,257860251,22.875
1455073138,230629154,22.9375
1455073148,142473921,22.875
1455073158,254494957,22.9375
1455073168,279516724,22.875
1455073188,202879550,22.9375
1455073198,227639751,22.875
1455073208,139147870,22.9375
1455073218,226482970,22.875
1455073228,301322059,22.9375
1455073238,225471884,22.875
1455073288,297687830,22.9375
1455073318,271202311,22.875
1455073328,195858928,22.9375
1455073368,168706865,22.875
1455073378,293309407,22.9375
1455073398,217030132,22.875
1455073438,282583547,22.9375
1455073448,214665497,22.875
1455073478,212798418,22.9375
1455073488,212502410,22.875
1455073588,232270147,22.9375
1455073598,231851135,22.875
1455073608,206280823,22.9375
1455073618,230496883,22.875
1455073628,142174437,22.9375
1455073648,204097251,22.875
1455073658,203725320,22.9375
1455073668,178397432,22.875
1455073708,176105438,22.9375
1455073718,162642981,22.875
1455073748,135969333,22.9375
1455073758,198392176,22.875
1455073898,116170385,22.9375
1455073908,132311575,22.875
1455075888,90613092,22.8125
1455075898,73956586,22.875
1455076208,121115881,22.8125
1455076218,94958809,22.875
1455076378,123732549,22.8125
1455076388,122670326,22.875
1455076398,72412330,22.8125
1455076408,121779111,22.875
1455076608,111274106,22.8125
1455076628,85299347,22.875
1455076658,106086247,22.8125
1455076668,96567423,22.875
1455076688,106890636,22.8125
1455076698,106442547,22.875
1455076728,118437675,22.8125
1455076738,103927635,22.875
1455076838,99051354,22.8125
1455076848,112164538,22.875
1455076858,123290502,22.8125
1455076868,97302658,22.875
1455076898,95634723,22.8125
1455076908,95557056,22.875
1455076948,115232210,22.8125
1455076968,92342890,22.875
1455077028,89028021,22.8125
1455077048,85224874,22.875
1455077068,86973717,22.8125
1455077098,123917694,22.875
1455077108,156304255,22.8125
1455077118,106282579,22.875
1455077128,108889814,22.8125
1455077138,121728024,22.875
1455077168,103828467,22.8125
1455077188,105699798,22.875
1455077228,83877259,22.8125
1455077238,124348784,22.875
1455077248,123943336,22.8125
1455077258,102202973,22.875
1455077308,120628058,22.8125
1455077318,119981774,22.875
1455077328,103163675,22.8125
1455077338,111556003,22.875
1455077358,121645628,22.8125
1455077368,117345933,22.875
1455077378,121169284,22.8125
1455077408,206246785,22.875
1455077418,119391985,22.8125
1455077428,114131779,22.875
1455077438,113334637,22.8125
1455077458,112414416,22.875
1455077488,110781494,22.8125
1455077518,134106239,22.875
1455077528,108448765,22.8125
1455077538,133090699,22.875
1455077558,131706487,22.8125
1455077588,123184836,22.875
1455077598,129516107,22.8125
1455077618,121997832,22.875
1455077648,103160045,22.8125
1455077708,167367179,22.875
1455077728,123200742,22.8125
1455077748,121419103,22.875
1455077758,126513897,22.8125
1455077788,144917408,22.875
1455077798,137383288,22.8125
1455077838,135572427,22.875
1455077868,158586141,22.8125
1455077908,138075969,22.875
1455077918,137182226,22.8125
1455077968,153551474,22.875
1455077988,127574920,22.8125
1455078038,131672429,22.875
1455078048,124466461,22.8125
1455078128,95636819,22.875
1455078138,145205896,22.8125
1455078178,123674230,22.875
1455078188,122584898,22.8125
1455078318,140556827,22.875
1455078328,139756986,22.8125
1455078378,133283580,22.875
1455078388,138568341,22.8125
1455078468,133412682,22.875
1455078478,133092777,22.8125
1455079378,133949178,22.875
1455079388,108947018,22.8125
1455081968,226086577,22.75
1455081978,296809672,22.8125
1455082478,269799021,22.75
1455082488,294397636,22.8125
1455082528,367737231,22.75
1455082538,266771019,22.8125
1455082598,264122168,22.75
1455082608,288294553,22.8125
1455082618,312739500,22.75
1455082628,281855861,22.8125
1455082758,280753459,22.75
1455082768,355504269,22.8125
1455082808,272941538,22.75
1455082818,353199114,22.8125
1455082978,294578643,22.75
1455082988,270150900,22.8125
1455083038,291409010,22.75
1455083048,232817344,22.8125
1455083088,338509462,22.75
1455083098,313009741,22.8125
1455083128,261212099,22.75
1455083138,260504500,22.8125
1455083258,229940800,22.75
1455083278,253264157,22.8125
1455083328,275827647,22.75
1455083348,250630274,22.8125
1455083388,223529566,22.75
1455083408,296540426,22.8125
1455083438,195003062,22.75
1455083448,219620736,22.8125
1455083458,193631600,22.75
1455083468,193102162,22.8125
1455083478,217869419,22.75
1455083488,192287005,22.8125
1455083568,238188062,22.75
1455083578,237630883,22.8125
1455083618,185777163,22.75
1455083628,185236330,22.8125
1455083658,184228357,22.75
1455083678,182675683,22.8125
1455083718,205425328,22.75
1455083728,180302281,22.8125
1455083758,253456505,22.75
1455083768,178402948,22.8125
1455083778,227349880,22.75
1455083788,201779542,22.8125
1455083848,198843247,22.75
1455083858,173108777,22.8125
1455083868,222529376,22.75
1455083888,195442346,22.8125
1455083908,195532493,22.75
1455083928,219460189,22.8125
1455083938,219063613,22.75
1455083948,167070805,22.8125
1455083958,192955103,22.75
1455083968,192448210,22.8125
1455083978,179119649,22.75
1455084038,175861006,22.8125
1455084068,187404718,22.75
1455084078,186714483,22.8125
1455084098,172624412,22.75
1455084118,184692102,22.8125
1455084128,156649418,22.75
1455084138,183545273,22.8125
1455084158,169369903,22.75
1455084168,207113528,22.8125
1455084178,206462861,22.75
1455084198,205528434,22.8125
1455084218,166520585,22.75
1455084228,204113185,22.8125
1455084248,177927719,22.75
1455084258,202391620,22.8125
1455084268,201789506,22.75
1455084278,176425484,22.8125
1455084288,200782189,22.75
1455084298,200292620,22.8125
1455084308,199824826,22.75
1455084338,198158486,22.8125
1455084348,197732606,22.75
1455084358,197168314,22.8125
1455084378,195925814,22.75
1455084388,195574951,22.8125
1455084428,193429038,22.75
1455084438,192913449,22.8125
1455084448,192372394,22.75
1455084478,190846124,22.8125
1455084518,188803527,22.75
1455084538,187789759,22.8125
1455084568,186363323,22.75
1455084588,185093816,22.8125
1455084608,221202021,22.75
1455084658,206682308,22.8125
1455084668,156312562,22.75
1455084738,202622940,22.8125
1455084758,189410406,22.75
1455084768,200904188,22.8125
1455084778,200358652,22.75
1455084818,186600931,22.8125
1455084828,197757568,22.75
1455084898,169685494,22.8125
1455084908,243566521,22.75
1455085018,188129976,22.8125
1455085038,174819555,22.75
1455085078,197950339,22.8125
1455085088,171992640,22.75
1455085138,169266964,22.8125
1455085148,169587751,22.75
1455085188,179152640,22.8125
1455085198,178578889,22.75
1455085248,164947744,22.8125
1455085258,175326424,22.75
1455085278,150523147,22.8125
1455085298,149169774,22.75
1455085318,172404142,22.8125
1455085328,159847464,22.75
1455085378,169412324,22.8125
1455085408,205844484,22.75
1455085418,155423610,22.8125
1455085428,192326353,22.75
1455085468,190508558,22.8125
1455085478,152438010,22.75
1455085518,187465925,22.8125
1455085528,187410115,22.75
1455085538,165867301,22.8125
1455085548,186325747,22.75
1455085578,208785011,22.8125
1455085588,171274791,22.75
1455085848,208071758,22.8125
1455085858,181370688,22.75
1455085998,174265003,22.8125
1455086008,198587404,22.75
1455086058,159072545,22.8125
1455086068,195374555,22.75
1455086348,180717454,22.8125
1455086358,155557284,22.75
1455086368,179992075,22.8125
1455086378,176512561,22.75
1455086708,183054823,22.8125
1455086718,199744120,22.75
1455086828,181215834,22.8125
1455086838,168777528,22.75
1455091798,335386923,22.6875
1455091808,396578506,22.75
1455091828,409077207,22.6875
1455091838,433387869,22.75
1455092208,439142701,22.6875
1455092218,388629049,22.75
1455092968,349629367,22.6875
1455092978,349041072,22.75
1455093118,278899440,22.6875
1455093128,316551272,22.75
1455093668,288306071,22.6875
1455093678,288027829,22.75
1455093748,283872223,22.6875
1455093758,308636693,22.75
1455093838,266678308,22.6875
1455093848,278763050,22.75
1455094008,270715969,22.6875
1455094018,270985901,22.75
1455094078,291641763,22.6875
1455094088,291449796,22.75
1455094098,259182017,22.6875
1455094108,290395124,22.75
1455094168,287505222,22.6875
1455094178,262159163,22.75
1455094268,257575494,22.6875
1455094278,256829507,22.75
1455094418,274949446,22.6875
1455094428,274479788,22.75
1455094668,286699738,22.6875
1455094678,285798783,22.75
1455094708,283869037,22.6875
1455094718,271330584,22.75
1455094748,270142638,22.6875
1455094758,281387306,22.75
1455094818,265824246,22.6875
1455094828,264872382,22.75
1455095018,280302799,22.6875
1455095028,279297837,22.75
1455095088,276015337,22.6875
1455095098,275527684,22.75
1455095128,274019169,22.6875
1455095168,271794433,22.75
1455095308,264287361,22.6875
1455095318,289010136,22.75
1455095328,288713813,22.6875
1455095348,300745680,22.75
1455095428,283522950,22.6875
1455095438,283121266,22.75
1455095468,280924558,22.6875
1455095478,280700229,22.75
1455095488,280158765,22.6875
1455095498,279653412,22.75
1455095538,277587347,22.6875
1455095548,276810664,22.75
1455095558,290105584,22.6875
1455095568,275738331,22.75
1455095608,287695273,22.6875
1455095628,273346282,22.75
1455095648,285316767,22.6875
1455095668,284130016,22.75
1455095678,283388928,22.6875
1455095688,283139606,22.75
1455095738,267334815,22.6875
1455095748,266969074,22.75
1455095788,289236168,22.6875
1455095798,264208024,22.75
1455095818,288073523,22.6875
1455095828,287593863,22.75
1455095958,294168832,22.6875
1455095978,293099040,22.75
1455096008,300888116,22.6875
1455096028,291170136,22.75
1455096068,282121046,22.6875
1455096088,274752579,22.75
1455096098,287375073,22.6875
1455096108,248318182,22.75
1455096138,285192993,22.6875
1455096158,284258541,22.75
1455096168,307703625,22.6875
1455096178,270079110,22.75
1455096188,300029667,22.6875
1455096208,293940360,22.75
1455096238,304486610,22.6875
1455096268,285405964,22.75
1455096298,258306020,22.6875
1455096308,409476945,22.75
1455096318,300127406,22.6875
1455096338,260790905,22.75
1455096388,283336459,22.6875
1455096408,277662472,22.75
1455096428,276367024,22.6875
1455096438,275576187,22.75
1455096448,275368168,22.6875
1455096458,279731791,22.75
1455096478,273491009,22.6875
1455096498,252787394,22.75
1455096508,271892723,22.6875
1455096518,271676098,22.75
1455096568,294168695,22.6875
1455096578,293699634,22.75
1455096588,310949843,22.6875
1455096598,298195696,22.75
1455096668,289156871,22.6875
1455096678,268679263,22.75
1455096698,292464256,22.6875
1455096708,304537796,22.75
1455096728,285512921,22.6875
1455096748,284773822,22.75
1455096768,302279728,22.6875
1455096778,288130567,22.75
1455096798,275054264,22.6875
1455096808,281274599,22.75
1455096818,280684610,22.6875
1455096828,299091654,22.75
1455096878,295801745,22.6875
1455096888,278608637,22.75
1455096908,394769102,22.6875
1455096918,275413435,22.75
1455096948,298364317,22.6875
1455096958,279278421,22.75
1455096988,296118419,22.6875
1455096998,290295412,22.75
1455097028,288723130,22.6875
1455097038,262579930,22.75
1455097068,286216968,22.6875
1455097078,291601303,22.75
1455097118,283582747,22.6875
1455097128,282886390,22.75
1455097138,294390230,22.6875
1455097148,281678199,22.75
1455097168,286776275,22.6875
1455097208,316875527,22.75
1455097218,259550325,22.6875
1455097228,260012973,22.75
1455097248,257453580,22.6875
1455097268,280778324,22.75
1455097278,257939143,22.6875
1455097298,274145829,22.75
1455097318,248208346,22.6875
1455097358,276707371,22.75
1455097368,276690156,22.6875
1455097378,270620266,22.75
1455097388,273999367,22.6875
1455097408,280745747,22.75
1455097428,273303549,22.6875
1455097438,291600614,22.75
1455097448,272279080,22.6875
1455097458,253863762,22.75
1455097468,277792427,22.6875
1455097508,417219060,22.75
1455097528,275111896,22.6875
1455097538,267554760,22.75
1455097558,260451143,22.6875
1455097568,285382137,22.75
1455097608,282872786,22.6875
1455097628,256959094,22.75
1455097648,260861602,22.6875
1455097678,284320822,22.75
1455097688,257812939,22.6875
1455097718,277459865,22.75
1455097728,276547210,22.6875
1455097768,255082369,22.75
1455097778,278688475,22.6875
1455097798,273897158,22.75
1455097808,372391988,22.6875
1455097818,277334367,22.75
1455097828,275102582,22.6875
