secs,nanos,val 
1455058755,49510520,22.6875
1455058765,74085455,22.75
1455058885,67126026,22.6875
1455058895,91772278,22.75
1455058995,86743191,22.6875
1455059035,84940173,22.75
1455059045,52100368,22.6875
1455059055,58141765,22.75
1455059065,57720701,22.6875
1455059075,82493151,22.75
1455059095,56006379,22.6875
1455059105,48241651,22.75
1455059445,62305662,22.6875
1455059455,87011884,22.75
1455059565,77029818,22.6875
1455059575,80307796,22.75
1455059635,101524831,22.6875
1455059645,101234558,22.75
1455059905,87441441,22.6875
1455059915,90927588,22.75
1455060815,88457636,22.6875
1455060825,112436068,22.75
1455060835,112746840,22.6875
1455060845,85962851,22.75
1455060925,82211609,22.6875
1455060935,106358435,22.75
1455061035,72614657,22.6875
1455061045,100544551,22.75
1455061055,94823152,22.6875
1455061075,99219147,22.75
1455061095,69931123,22.6875
1455061115,93477966,22.75
1455061135,95335172,22.6875
1455061145,94633886,22.75
1455061155,65829682,22.6875
1455061165,93959745,22.75
1455061195,92454683,22.6875
1455061215,91550220,22.75
1455061225,90229517,22.6875
1455061265,74621351,22.75
1455061285,87758926,22.6875
1455061365,82118821,22.75
1455061375,82658584,22.6875
1455061385,81829308,22.75
1455061395,81394172,22.6875
1455061665,91993451,22.75
1455061685,91053822,22.6875
1455061715,88230326,22.75
1455061725,89072712,22.6875
1455061805,84147451,22.75
1455061815,69544873,22.6875
1455061865,105864781,22.75
1455061875,90532411,22.6875
1455061905,104145642,22.75
1455061915,103325374,22.6875
1455061935,87651652,22.75
1455061945,101715741,22.6875
1455061965,100187246,22.75
1455061985,100051077,22.6875
1455061995,80105143,22.75
1455062005,98656937,22.6875
1455062015,98143019,22.75
1455062025,97804458,22.6875
1455062045,96294820,22.75
1455062075,94656798,22.6875
1455062095,93818617,22.75
1455062105,92080171,22.6875
1455062175,71013755,22.75
1455062185,88841978,22.6875
1455062225,112119391,22.75
1455062245,96743525,22.6875
1455062285,108086842,22.75
1455062325,106017920,22.6875
1455062345,79500203,22.75
1455062355,90730357,22.6875
1455062365,104348188,22.75
1455062395,102876880,22.6875
1455062425,100787656,22.75
1455062475,98213030,22.6875
1455062505,96941409,22.75
1455062515,96340592,22.6875
1455062535,96795077,22.75
1455062575,93443531,22.6875
1455062595,77324915,22.75
1455062605,92741268,22.6875
1455062615,93134784,22.75
1455062755,85507397,22.6875
1455062765,81175099,22.75
1455064365,117906853,22.8125
1455064375,97368180,22.75
1455064485,92648227,22.8125
1455064495,111867591,22.75
1455064525,109907693,22.8125
1455064535,108428045,22.75
1455064555,107774121,22.8125
1455064565,106962281,22.75
1455064595,106009811,22.8125
1455064615,104444321,22.75
1455064645,103146500,22.8125
1455064655,102177475,22.75
1455064845,116722905,22.8125
1455064855,116059587,22.75
1455064925,112517680,22.8125
1455064935,96299284,22.75
1455065405,111696108,22.8125
1455065415,111106524,22.75
1455065605,113182447,22.8125
1455065615,121530150,22.75
1455065685,120715499,22.8125
1455065695,121019201,22.75
1455065795,115697986,22.8125
1455065805,115290668,22.75
1455065815,114551838,22.8125
1455065825,113445959,22.75
1455065855,112383011,22.8125
1455065865,112171625,22.75
1455065915,108175651,22.8125
1455065925,108163130,22.75
1455066055,125157247,22.8125
1455066065,121208415,22.75
1455066975,125447984,22.8125
1455066985,124714628,22.75
1455067025,122955033,22.8125
1455067035,122203263,22.75
1455067065,120700305,22.8125
1455067085,119608102,22.75
1455067105,118071957,22.8125
1455067125,117049174,22.75
1455067135,116554658,22.8125
1455067155,132861518,22.75
1455067175,114964678,22.8125
1455067205,129537300,22.75
1455067225,137151030,22.8125
1455067235,136397256,22.75
1455067245,111394968,22.8125
1455067325,131404897,22.75
1455067335,130678267,22.8125
1455067415,126527464,22.75
1455067425,125821080,22.8125
1455067535,145173698,22.75
1455067545,144729385,22.8125
1455067625,139956222,22.75
1455067645,138823699,22.8125
1455067655,138548751,22.75
1455067665,137395480,22.8125
1455067685,136685974,22.75
1455067715,137343945,22.8125
1455067735,133527326,22.75
1455067785,131438931,22.8125
1455067795,130710482,22.75
1455067845,128005096,22.8125
1455067865,127019267,22.75
1455067875,125856855,22.8125
1455067885,125888002,22.75
1455067895,125272991,22.8125
1455067905,124683274,22.75
1455067925,123871395,22.8125
1455067955,149500430,22.75
1455067975,148794299,22.8125
1455067995,169961344,22.75
1455068485,143583821,22.8125
1455068495,142642662,22.75
1455068565,188484551,22.8125
1455068575,138334375,22.75
1455068665,158532612,22.8125
1455068675,183014517,22.75
1455068735,179513367,22.8125
1455068755,153844295,22.75
1455068795,176473048,22.8125
1455068805,175900832,22.75
1455068835,174264036,22.8125
1455068855,147508305,22.75
1455068875,172108902,22.8125
1455068885,146495649,22.75
1455068895,146691056,22.8125
1455068905,170248664,22.75
1455068965,167432570,22.8125
1455068975,191398141,22.75
1455069015,189770322,22.8125
1455069045,162880616,22.75
1455069095,163839490,22.8125
1455069105,159490049,22.75
1455069125,134133789,22.8125
1455069155,161046439,22.75
1455069205,153100343,22.8125
1455069215,158107312,22.75
1455072045,151525265,22.8125
1455072055,175242126,22.75
1455072205,189727157,22.8125
1455072215,148488213,22.75
1455072255,164330479,22.8125
1455072265,164172233,22.75
1455072465,151204474,22.8125
1455072475,153236422,22.75
1455072695,164818488,22.8125
1455072705,163686192,22.75
1455072715,166149577,22.8125
1455072735,165024400,22.75
1455072775,160125508,22.8125
1455072785,164312796,22.75
1455072845,156811483,22.8125
1455072855,158868312,22.75
1455072885,154941737,22.8125
1455072895,153968772,22.75
1455072905,156656949,22.8125
1455072925,175317834,22.75
1455072945,173924007,22.8125
1455072955,149070878,22.75
1455072965,158213214,22.8125
1455072975,172555376,22.75
1455072985,159194729,22.8125
1455072995,157862242,22.75
1455073045,171555209,22.8125
1455073065,174566265,22.75
1455073075,169358073,22.8125
1455073095,168483924,22.75
1455073105,170610620,22.8125
1455073115,172528453,22.75
1455073145,160664226,22.8125
1455073155,166778424,22.75
1455073185,165696075,22.8125
1455073195,161077348,22.75
1455073255,158742567,22.8125
1455073265,151625159,22.75
1455073315,160064460,22.8125
1455073325,155022422,22.75
1455073335,155882560,22.8125
1455073345,156942489,22.75
1455073355,176902248,22.8125
1455073365,176334882,22.75
1455073395,174811487,22.8125
1455073425,178414944,22.75
1455073435,177616358,22.8125
1455073445,159762511,22.75
1455073455,176928394,22.8125
1455073475,158624295,22.75
1455073485,175759958,22.8125
1455073525,173004918,22.75
1455073555,171919762,22.8125
1455073565,167555245,22.75
1455073625,163699083,22.8125
1455073635,166618531,22.75
1455073735,161922306,22.8125
1455073745,157656088,22.75
1455073875,180701726,22.8125
1455073885,179099259,22.75
1455073965,172893711,22.8125
1455073975,174800099,22.75
1455074015,190937211,22.8125
1455074025,166673076,22.75
1455074085,163972631,22.8125
1455074095,167786170,22.75
1455074165,166187183,22.8125
1455074175,170398479,22.75
1455074195,173838529,22.8125
1455074205,180500064,22.75
1455074225,159422354,22.8125
1455074235,179245130,22.75
1455074245,166449716,22.8125
1455074255,187006775,22.75
1455074285,181980888,22.8125
1455074375,179737732,22.75
1455074385,171123874,22.8125
1455074425,174219781,22.75
1455074435,177510210,22.8125
1455074445,192444807,22.75
1455074455,172788059,22.8125
1455074495,171117748,22.75
1455074505,189002277,22.8125
1455074515,188423293,22.75
1455074525,163599729,22.8125
1455074615,183763171,22.75
1455074625,182793564,22.8125
1455074635,182258119,22.75
1455074655,205852032,22.8125
1455074675,189197532,22.75
1455074705,184642810,22.8125
1455074715,202396519,22.75
1455074765,199643679,22.8125
1455074775,181233168,22.75
1455075505,185687813,22.8125
1455075515,196566347,22.75
1455075625,202841014,22.8125
1455075645,201619814,22.75
1455075655,201045895,22.8125
1455075695,199355846,22.75
1455075705,198290988,22.8125
1455075735,196630720,22.75
1455075745,196036837,22.8125
1455075755,183882632,22.75
1455075765,195290922,22.8125
1455075775,194507023,22.75
1455075785,180404770,22.8125
1455075795,193495027,22.75
1455075805,193880214,22.8125
1455075835,191381406,22.75
1455075845,190692271,22.8125
1455076015,205897082,22.75
1455076025,205672776,22.8125
1455076075,203038796,22.75
1455076085,190233758,22.8125
1455076215,195053113,22.75
1455076225,194674222,22.8125
1455076255,218205601,22.75
1455076295,201885125,22.8125
1455076355,202237731,22.75
1455076385,197549897,22.8125
1455076395,197201412,22.75
1455076425,208578802,22.8125
1455076455,193092102,22.75
1455076465,206281247,22.8125
1455076485,180387832,22.75
1455076505,203923752,22.8125
1455076515,193320753,22.75
1455076525,189884034,22.8125
1455076535,202407089,22.75
1455076545,201846310,22.8125
1455076555,188545294,22.75
1455076615,197976283,22.8125
1455076625,184319538,22.75
1455077485,225889009,22.8125
1455077495,224843665,22.75
1455077515,250057179,22.8125
1455077525,223277226,22.75
1455077565,221293631,22.8125
1455077575,220273800,22.75
1455077615,219286578,22.8125
1455077645,217029190,22.75
1455077655,219547432,22.8125
1455077725,214964613,22.75
1455077735,237624237,22.8125
1455077755,236805443,22.75
1455077765,235880214,22.8125
1455077785,208827984,22.75
1455077795,233908390,22.8125
1455077825,232238684,22.75
1455077835,223241258,22.8125
1455077875,254277396,22.75
1455077895,253340066,22.8125
1455077915,252074582,22.75
1455077925,201959680,22.8125
1455077935,251181987,22.75
1455077945,241039054,22.8125
1455077955,225254078,22.75
1455077965,249260959,22.8125
1455077975,248785770,22.75
1455077995,222802596,22.8125
1455078015,247134023,22.75
1455078045,244921382,22.8125
1455078055,245011977,22.75
1455078095,217754278,22.8125
1455078105,241814134,22.75
1455078335,255124004,22.8125
1455078345,228798337,22.75
1455078445,247921426,22.8125
1455078455,248158606,22.75
1455078595,240804194,22.8125
1455078605,215472766,22.75
1455078625,263099768,22.8125
1455078635,263123450,22.75
1455079895,253795653,22.8125
1455079905,244695907,22.75
1455080015,212692977,22.8125
1455080025,262751088,22.75
1455080195,227987447,22.8125
1455080215,252598356,22.75
1455081065,256895622,22.8125
1455081075,255713735,22.75
1455082395,237125701,22.8125
1455082405,235346238,22.75
1455082415,236219292,22.8125
1455082425,234881046,22.75
1455082465,254124857,22.8125
1455082475,231841104,22.75
1455082515,254222619,22.8125
1455082535,226375918,22.75
1455082555,253410045,22.8125
1455082565,248430863,22.75
1455082585,252302243,22.8125
1455082615,250681770,22.75
1455082695,247487163,22.8125
1455082705,242315863,22.75
1455082775,238563517,22.8125
1455082785,240578262,22.75
1455082835,238780698,22.8125
1455082845,233922651,22.75
1455084075,258471175,22.6875
1455084085,240536626,22.75
1455084185,247096468,22.6875
1455084195,254504841,22.75
1455085025,274282723,22.6875
1455085035,288781093,22.75
1455085285,275169202,22.6875
1455085295,261252202,22.75
1455087905,307748678,22.6875
1455087915,309848673,22.75
1455087955,329704615,22.6875
1455087965,303997894,22.75
1455087975,308387748,22.6875
1455088015,326530728,22.75
1455088025,325910129,22.6875
1455088245,325264696,22.625
1455088255,339930961,22.6875
1455088265,313181894,22.625
1455088285,322878603,22.6875
1455088325,309965832,22.625
1455088335,311994900,22.6875
1455088345,332982949,22.625
1455088355,332709497,22.6875
1455088365,333039251,22.625
1455088445,303575336,22.6875
1455088455,351954460,22.625
1455088715,334130943,22.5625
1455088725,333999517,22.625
1455088745,337263532,22.5625
1455088755,331948436,22.625
1455088855,355125433,22.5625
1455088865,355284379,22.625
1455088885,329350695,22.5625
1455088895,353072402,22.625
1455088955,349745674,22.5625
1455088985,323237822,22.625
1455088995,313526229,22.5625
1455089025,322144121,22.625
1455089035,321945667,22.5625
1455089045,345181813,22.625
1455089055,314036260,22.5625
1455089075,343032074,22.625
1455089085,317587191,22.5625
1455089985,344650888,22.625
1455089995,318071706,22.5625
1455090045,342064059,22.625
1455090055,341094465,22.5625
1455090075,340148124,22.625
1455090085,340277848,22.5625
1455090105,337647575,22.625
1455090145,336510429,22.5625
1455090165,335638779,22.625
1455091895,318732171,22.6875
1455091905,318932582,22.625
1455091915,317444739,22.6875
1455091925,312532205,22.625
1455091935,337318441,22.6875
1455091955,322836616,22.625
1455091965,335253478,22.6875
1455091975,334906336,22.625
1455091995,320427190,22.6875
1455092015,332677250,22.625
1455092025,319675597,22.6875
1455092035,337220693,22.625
1455092055,331499853,22.6875
1455092075,335332704,22.625
1455092115,327233406,22.6875
1455092175,329028179,22.625
1455092185,328190993,22.6875
1455092205,325191339,22.625
1455092215,326895434,22.6875
1455092225,325159881,22.625
1455092235,323405383,22.6875
1455092255,325147345,22.625
1455092265,324213670,22.6875
1455092325,320667493,22.625
1455092345,317653556,22.6875
1455092365,338384166,22.625
1455092375,324851517,22.6875
1455092395,336912646,22.625
1455092405,336083435,22.6875
1455092425,335479083,22.625
1455092445,321935287,22.6875
1455092455,341037215,22.625
1455092485,335181512,22.6875
1455092495,355930495,22.625
1455092535,334172484,22.6875
1455092545,353182402,22.625
1455092585,326140232,22.6875
1455092605,349975205,22.625
1455092625,328117646,22.6875
1455092635,332091036,22.625
1455092675,329320677,22.6875
1455092705,407246420,22.625
1455092735,335276292,22.6875
1455093505,351996415,22.75
1455093535,342168167,22.6875
1455093545,345621144,22.75
1455093565,348061216,22.6875
1455093645,344271001,22.75
1455093655,338968824,22.6875
1455093755,359250552,22.75
1455093765,362341782,22.6875
1455093775,352074020,22.75
1455093795,360253705,22.6875
1455093815,359198642,22.75
1455093825,359221857,22.6875
1455093835,354456258,22.75
1455093845,357526180,22.6875
1455093855,356893454,22.75
1455093875,356135096,22.6875
1455093905,379522951,22.75
1455093925,353813177,22.6875
1455093935,347378624,22.75
1455093955,345627302,22.6875
1455094305,356998326,22.75
1455094315,357841122,22.6875
1455095935,368386506,22.75
1455095945,367011915,22.6875
1455096005,365433132,22.75
1455096025,363272128,22.6875
1455096075,375910382,22.75
1455096105,384261417,22.6875
1455096135,372963191,22.75
1455096155,380600601,22.6875
1455096175,379791515,22.75
1455096205,378476904,22.6875
1455096215,377785311,22.75
1455096255,375875433,22.6875
1455096265,375534166,22.75
1455096275,399743853,22.6875
1455096285,374332323,22.75
1455096335,370759717,22.6875
1455096355,372074878,22.75
1455096365,369166903,22.6875
1455096375,371693413,22.75
1455096405,367605481,22.6875
1455096465,365592450,22.75
