secs,nanos,val 
1455058937,1409281,25.3125
1455059556,967222935,25.375
1455059566,991711289,25.3125
1455060897,19109075,25.375
1455060906,995110764,25.3125
1455060916,982776905,25.375
1455060927,17270079,25.3125
1455061176,994230262,25.375
1455061187,17021914,25.3125
1455061386,992979229,25.375
1455061396,990620076,25.3125
1455061427,6967440,25.375
1455061437,370329,25.3125
1455061467,13292919,25.375
1455061477,12893470,25.3125
1455061487,3143763,25.375
1455061497,217898,25.3125
1455061507,34417461,25.375
1455061517,11325425,25.3125
1455061586,995309572,25.375
1455061597,6569193,25.3125
1455061666,984467875,25.375
1455061697,26383329,25.3125
1455061757,23379752,25.375
1455061767,10166181,25.3125
1455061777,10057458,25.375
1455061786,966214918,25.3125
1455061837,18101810,25.375
1455061846,984912073,25.3125
1455061897,15109666,25.375
1455061936,988504819,25.3125
1455061957,11850102,25.375
1455061966,979390551,25.3125
1455061977,3358671,25.375
1455061997,9546521,25.3125
1455062007,34434206,25.375
1455062017,34484591,25.3125
1455062047,7397954,25.375
1455062077,30532993,25.3125
1455062117,2967293,25.375
1455062137,27291626,25.3125
1455062146,995604290,25.375
1455062167,26095795,25.3125
1455062217,22917897,25.375
1455062247,9543003,25.3125
1455062287,31635063,25.375
1455062317,5937539,25.3125
1455062327,8905889,25.375
1455062427,36194463,25.3125
1455062447,4804953,25.375
1455062457,34249205,25.3125
1455062467,34069650,25.375
1455062607,26522960,25.3125
1455062637,24966765,25.375
1455062727,20250967,25.3125
1455062737,7368439,25.375
1455062766,993191797,25.3125
1455062777,16994355,25.375
1455062807,18516990,25.3125
1455062817,39783953,25.375
1455062837,14928040,25.3125
1455062857,1436939,25.375
1455062897,35906056,25.3125
1455062907,33600872,25.375
1455062976,995012013,25.3125
1455062987,15613947,25.375
1455063027,16892066,25.3125
1455063037,16294527,25.375
1455063217,43015639,25.3125
1455063227,34956855,25.375
1455063237,55206383,25.3125
1455063267,38640390,25.375
1455063347,35723436,25.3125
1455063357,36072670,25.375
1455063397,33192708,25.3125
1455063407,27768976,25.375
1455063737,36690778,25.3125
